m,pct_to_1,pct_to_minus1,pct_no_converge,transition_point,dist_to_1,dist_to_minus1,ratio_dist,max_iterations,time_seconds
44,0.0,1.57470703125,98.42529296875,-0.9555477773888694,1.9555477773888694,0.044452222611130576,43.99212598425195,100,27.059849739074707
45,0.0,1.54266357421875,98.45733642578125,-0.9565478273913696,1.9565478273913697,0.043452172608630435,45.02761795166858,100,26.89278769493103
46,0.0,1.5104293823242188,98.48957061767578,-0.9574478723936197,1.9574478723936197,0.042552127606380274,46.00117508813166,100,28.50408625602722
47,0.0,1.4804840087890625,98.51951599121094,-0.9583479173958698,1.9583479173958698,0.041652082604130225,47.016806722689054,100,27.914432764053345
48,0.0,1.4532089233398438,98.54679107666016,-0.9592479623981199,1.9592479623981198,0.040752037601880065,48.077300613496966,100,26.309691190719604
49,0.0,1.424407958984375,98.57559204101562,-0.96004800240012,1.9600480024001201,0.039951997599879996,49.06007509386733,100,25.67551565170288
50,0.0,1.3959884643554688,98.60401153564453,-0.9608480424021201,1.96084804240212,0.03915195759787993,50.08301404853125,100,26.88602924346924
51,0.0,1.3704299926757812,98.62957000732422,-0.9615480774038702,1.96154807740387,0.03845192259612984,51.0130039011703,100,26.09117031097412
52,0.0,1.3452529907226562,98.65474700927734,-0.9622481124056202,1.9622481124056201,0.03775188759437975,51.97748344370856,100,26.671543836593628
53,0.0,1.3223648071289062,98.6776351928711,-0.9629481474073703,1.9629481474073702,0.037051852592629664,52.97840755735488,100,28.60750126838684
54,0.0,1.2989044189453125,98.70109558105469,-0.9636481824091204,1.9636481824091203,0.036351817590879576,54.01788170563956,100,28.167036533355713
55,0.0,1.276397705078125,98.72360229492188,-0.9643482174108705,1.9643482174108704,0.03565178258912949,55.09817671809251,100,27.803797006607056
56,0.0,1.2556076049804688,98.74439239501953,-0.9649482474123706,1.9649482474123707,0.03505175258762938,56.05848787446505,100,29.15574550628662
57,0.0,1.2331008911132812,98.76689910888672,-0.9655482774138707,1.9655482774138706,0.034451722586129274,57.05224963715535,100,28.08837366104126
58,0.0,1.213836669921875,98.78616333007812,-0.9661483074153707,1.9661483074153707,0.03385169258462928,58.08124076809445,100,27.327951908111572
59,0.0,1.19476318359375,98.80523681640625,-0.9666483324166208,1.9666483324166208,0.03335166758337915,58.96701649175415,100,26.702264547348022
60,0.0,1.1735916137695312,98.82640838623047,-0.967248362418121,1.967248362418121,0.032751637581879045,60.06564885496192,100,28.758142709732056
